Player,MP,3PA,3P%,2PA,2P%,eFG%,FTA,FT%,ORB,DRB,BLK,TOV,PS/G,% FG 3PT,%PTS 2PT MR,%PTS PITP,FGM %UAST,Drive FGA,Drive FG%,Drive PASS,Drive PASS%,SCREEN assists,DEFLECTIONS,LOOSE BALLS recovered,CHARGES drawn,C&S 3PA,C&S 3P%,C&S EFG%,AST PTS created,TOUCHES,TIME OF Pos,ELBOW touches,POST touches,PTS PER Elbow,PTS PER post,AVG SPEED OFF,AVG SPEED DEF
Malcolm Delaney,17.1,1.5,0.236,3.8,0.428,0.407,1.3,0.806,0.1,1.5,0,1.3,5.4,47.1,19.2,13.8,64.8,0.8,34.5,0.6,35.5,0.2,1.3,0.5,0.21,1.1,24.1,36.7,6.4,37.1,2.8,0.2,0.1,0,0.6,4.46,3.74
Matthew Dellavedova,26.1,2.8,0.367,4.2,0.404,0.463,1.3,0.854,0.3,1.6,0,1.8,7.6,11.4,14.2,33.3,48.1,1.9,40.1,1.6,39.7,0.9,1.2,0.6,0.07,2.1,37.6,54.5,10.9,54.3,3.8,0.5,0.5,0.105,0.474,4.75,3.75
Luol Deng,26.5,2.9,0.309,4.6,0.436,0.447,1.1,0.73,1.1,4.1,0.4,0.8,7.6,10.8,10.8,42.4,33.5,1,48.3,0.3,19.8,0.3,1.3,0.6,0.04,2.2,32.8,43.9,3.2,38.3,1.1,0.9,1.3,0.294,0.479,4.66,3.91
DeMar DeRozan,35.4,1.7,0.266,19.2,0.484,0.477,8.7,0.842,0.9,4.3,0.2,2.4,27.3,30.5,27,37.6,78.2,5.7,54.9,2.7,26.2,0.1,1.9,1.2,0.04,1.1,31.2,42,9.8,64.9,5,1.7,0.2,0.449,0.333,4.42,3.58
Boris Diaw,17.6,1.1,0.247,3.4,0.512,0.477,0.5,0.743,0.6,1.5,0.1,1.2,4.6,11.8,7.7,62.7,54.8,0.9,58.2,0.5,30,1.1,0.5,0.3,0,1,25.7,34.8,5.7,35.1,1.1,2.4,1.2,0.034,0.455,4.37,3.67
Gorgui Dieng,32.4,0.5,0.372,7.5,0.511,0.514,2,0.814,2.3,5.6,1.2,1.3,10,29.2,16.7,48.3,21.1,0.2,60,0.1,29.2,3.3,2.6,1,0.26,0.4,42.9,48.1,4.6,49.7,1,3.8,4,0.239,0.827,4.27,3.83
Spencer Dinwiddie,22.6,1.7,0.376,3.4,0.478,0.507,2.7,0.792,0.5,2.3,0.4,1.1,7.3,13.4,29.2,31,67.9,1.5,51.7,1.6,41,0.3,1.5,0.7,0.02,0.7,46.2,70.7,7.8,45.2,3.1,0.1,0.2,0.143,0.417,4.55,3.78
Goran Dragic,33.7,4,0.405,11.4,0.499,0.527,5.2,0.79,0.8,3,0.2,2.9,20.3,14.8,20.1,41.4,69.7,4.9,52.8,5.5,45.9,0.4,2,1.1,0.05,2.3,40.4,58.3,14.2,83.9,7.1,1.6,1.3,0.342,0.367,4.82,3.85
Andre Drummond,29.7,0.1,0.286,11.2,0.532,0.531,4.4,0.386,4.3,9.5,1.1,1.9,13.6,7.2,12.4,79.8,39.8,0.4,33.3,0,7.5,4.3,2.9,0.9,0.02,0.1,20,43,2.7,45.6,1.3,2.5,6.9,0.161,0.952,4.12,3.9
Jared Dudley,21.3,3.2,0.379,2.2,0.559,0.565,1,0.662,0.5,3,0.3,1.1,6.8,16.6,9.9,20.3,19.7,0.4,53.8,0.6,47,1.2,1.5,0.4,0.22,3,37,54.1,4.3,47.7,0.9,1.4,0.7,0.239,0.587,4.65,3.53
Mike Dunleavy,15.9,2.5,0.396,1.6,0.465,0.543,0.8,0.8,0.3,1.8,0.1,0.5,5.2,7.3,13.1,21.8,11.8,0.4,31.6,0.1,12.5,0.2,0.6,0.3,0.08,2.1,42,59.6,2.4,19.9,0.5,0.5,0.8,0.25,0.878,4.82,3.88
Kris Dunn,17.1,0.9,0.288,3.1,0.404,0.411,0.8,0.61,0.3,1.8,0.5,1.1,3.8,25.9,12.3,40.3,64.4,0.8,40,0.6,35.3,0.1,2.2,0.7,0,0.7,24.5,37.1,5.7,35,2.6,0.3,0.4,0.192,0.294,4.63,4.2
